t	norma	normb	norm
0.476	0.0767708	0.0850559	6.29147e-05
0.477	0.0770104	0.0852975	6.29147e-05
0.478	0.0772472	0.0855357	6.29147e-05
0.479	0.0774811	0.0857707	6.29147e-05
0.48	0.0777121	0.0860024	6.29147e-05
0.481	0.0779402	0.0862307	6.29147e-05
0.482	0.0781655	0.0864559	6.29147e-05
0.483	0.0783879	0.0866778	6.29147e-05
0.484	0.0786075	0.0868965	6.29147e-05
0.485	0.0788242	0.087112	6.29147e-05
0.486	0.0790382	0.0873243	6.29147e-05
0.487	0.0792494	0.0875334	6.29147e-05
0.488	0.0794578	0.0877395	6.29147e-05
0.489	0.0796634	0.0879423	6.29147e-05
0.49	0.0798663	0.0881421	6.29147e-05
0.491	0.0800665	0.0883388	6.29147e-05
0.492	0.080264	0.0885324	6.29147e-05
0.493	0.0804587	0.088723	6.29147e-05
0.494	0.0806508	0.0889105	6.29147e-05
0.495	0.0808401	0.089095	6.29147e-05
0.496	0.0810268	0.0892765	6.29147e-05
0.497	0.0812109	0.089455	6.29147e-05
0.498	0.0813923	0.0896306	6.29147e-05
0.499	0.0815711	0.0898032	6.29147e-05
0.5	0.0817473	0.0899728	6.29147e-05
0.501	0.0819208	0.0901395	6.29147e-05
0.502	0.0820918	0.0903034	6.29147e-05
0.503	0.0822602	0.0904643	6.29147e-05
0.504	0.0824261	0.0906224	6.29147e-05
0.505	0.0825893	0.0907776	6.29147e-05
0.506	0.0827501	0.09093	6.29147e-05
0.507	0.0829083	0.0910796	6.29147e-05
0.508	0.083064	0.0912263	6.29147e-05
0.509	0.0832172	0.0913703	6.29147e-05
0.51	0.083368	0.0915115	6.29147e-05
0.511	0.0835162	0.0916499	6.29147e-05
0.512	0.083662	0.0917856	6.29147e-05
0.513	0.0838053	0.0919186	6.29147e-05
0.514	0.0839462	0.0920488	6.29147e-05
0.515	0.0840846	0.0921763	6.29147e-05
0.516	0.0842207	0.0923012	6.29147e-05
0.517	0.0843543	0.0924234	6.29147e-05
0.518	0.0844855	0.092543	6.29147e-05
0.519	0.0846144	0.0926599	6.29147e-05
0.52	0.0847409	0.0927742	6.29147e-05
0.521	0.084865	0.0928858	6.29147e-05
0.522	0.0849868	0.0929949	6.29147e-05
0.523	0.0851062	0.0931014	6.29147e-05
0.524	0.0852233	0.0932054	6.29147e-05
0.525	0.0853381	0.0933067	6.29147e-05
0.526	0.0854506	0.0934056	6.29147e-05
0.527	0.0855608	0.0935019	6.29147e-05
0.528	0.0856687	0.0935957	6.29147e-05
0.529	0.0857744	0.0936871	6.29147e-05
0.53	0.0858777	0.0937759	6.29147e-05
0.531	0.0859789	0.0938623	6.29147e-05
0.532	0.0860778	0.0939462	6.29147e-05
0.533	0.0861745	0.0940277	6.29147e-05
0.534	0.0862689	0.0941068	6.29147e-05
0.535	0.0863612	0.0941834	6.29147e-05
0.536	0.0864512	0.0942577	6.29147e-05
0.537	0.0865391	0.0943295	6.29147e-05
0.538	0.0866248	0.094399	6.29147e-05
0.539	0.0867083	0.0944662	6.29147e-05
0.54	0.0867897	0.094531	6.29147e-05
0.541	0.086869	0.0945934	6.29147e-05
0.542	0.0869461	0.0946535	6.29147e-05
0.543	0.0870211	0.0947114	6.29147e-05
0.544	0.0870939	0.0947669	6.29147e-05
0.545	0.0871647	0.0948202	6.29147e-05
0.546	0.0872334	0.0948711	6.29147e-05
0.547	0.0873	0.0949199	6.29147e-05
0.548	0.0873645	0.0949663	6.29147e-05
0.549	0.087427	0.0950106	6.29147e-05
0.55	0.0874874	0.0950526	6.29147e-05
0.551	0.0875458	0.0950925	6.29147e-05
0.552	0.0876021	0.0951301	6.29147e-05
0.553	0.0876564	0.0951655	6.29147e-05
0.554	0.0877087	0.0951988	6.29147e-05
0.555	0.087759	0.0952299	6.29147e-05
0.556	0.0878073	0.0952589	6.29147e-05
0.557	0.0878537	0.0952857	6.29147e-05
0.558	0.087898	0.0953104	6.29147e-05
0.559	0.0879404	0.095333	6.29147e-05
0.56	0.0879808	0.0953535	6.29147e-05
0.561	0.0880193	0.0953719	6.29147e-05
0.562	0.0880558	0.0953883	6.29147e-05
0.563	0.0880904	0.0954025	6.29147e-05
0.564	0.0881231	0.0954148	6.29147e-05
0.565	0.0881539	0.0954249	6.29147e-05
0.566	0.0881828	0.0954331	6.29147e-05
0.567	0.0882098	0.0954392	6.29147e-05
0.568	0.0882349	0.0954433	6.29147e-05
0.569	0.0882581	0.0954454	6.29147e-05
0.57	0.0882795	0.0954455	6.29147e-05
0.571	0.088299	0.0954437	6.29147e-05
0.572	0.0883166	0.0954399	6.29147e-05
0.573	0.0883325	0.0954341	6.29147e-05
0.574	0.0883465	0.0954264	6.29147e-05
0.575	0.0883586	0.0954167	6.29147e-05
0.576	0.088369	0.0954052	6.29147e-05
0.577	0.0883775	0.0953917	6.29147e-05
0.578	0.0883843	0.0953763	6.29147e-05
0.579	0.0883892	0.095359	6.29147e-05
0.58	0.0883924	0.0953399	6.29147e-05
0.581	0.0883939	0.0953188	6.29147e-05
0.582	0.0883935	0.095296	6.29147e-05
0.583	0.0883914	0.0952712	6.29147e-05
0.584	0.0883876	0.0952446	6.29147e-05
0.585	0.088382	0.0952162	6.29147e-05
0.586	0.0883747	0.095186	6.29147e-05
0.587	0.0883656	0.095154	6.29147e-05
0.588	0.0883549	0.0951201	6.29147e-05
0.589	0.0883424	0.0950845	6.29147e-05
0.59	0.0883283	0.0950471	6.29147e-05
0.591	0.0883124	0.0950079	6.29147e-05
0.592	0.0882949	0.094967	6.29147e-05
0.593	0.0882757	0.0949243	6.29147e-05
0.594	0.0882549	0.0948798	6.29147e-05
0.595	0.0882323	0.0948337	6.29147e-05
0.596	0.0882082	0.0947858	6.29147e-05
0.597	0.0881824	0.0947362	6.29147e-05
0.598	0.0881549	0.0946849	6.29147e-05
0.599	0.0881259	0.0946319	6.29147e-05
0.6	0.0880952	0.0945772	6.29147e-05
0.601	0.0880629	0.0945208	6.29147e-05
0.602	0.088029	0.0944628	6.29147e-05
0.603	0.0879935	0.0944031	6.29147e-05
