t	integral	norm	uniform_integral	uniform_norm	time
0.10253	0.0150598	0.185327	0.0160179	0.197357	58339
0.105193	0.0150347	0.185012	0.0160179	0.197357	71229
0.107856	0.0150095	0.184696	0.0160179	0.197357	48784
0.110519	0.0149844	0.184381	0.0160179	0.197357	55365
0.113182	0.0149592	0.184065	0.0160179	0.197357	55034
0.115846	0.014934	0.183749	0.0160179	0.197357	56609
0.118509	0.0149088	0.183433	0.0160179	0.197357	70547
0.121172	0.0148836	0.183117	0.0160179	0.197357	51522
0.123835	0.0148584	0.182801	0.0160179	0.197357	50445
0.126498	0.0148332	0.182484	0.0160179	0.197357	52577
0.129161	0.0148079	0.182168	0.0160179	0.197357	58168
0.131824	0.0147826	0.181851	0.0160179	0.197357	56830
0.134487	0.0147574	0.181534	0.0160179	0.197357	54967
0.13715	0.0147321	0.181218	0.0160179	0.197357	117090
0.139814	0.0147068	0.180901	0.0160179	0.197357	70100
0.142477	0.0146815	0.180583	0.0160179	0.197357	54006
0.14514	0.0146562	0.180266	0.0160179	0.197357	71993
0.147803	0.0146308	0.179949	0.0160179	0.197357	56034
0.150466	0.0146055	0.179631	0.0160179	0.197357	58090
0.153129	0.0145802	0.179314	0.0160179	0.197357	53140
0.155792	0.0145548	0.178996	0.0160179	0.197357	52658
0.158455	0.0145294	0.178678	0.0160179	0.197357	54827
0.161119	0.014504	0.17836	0.0160179	0.197357	52481
0.163782	0.0144786	0.178042	0.0160179	0.197357	56212
0.166445	0.0144532	0.177723	0.0160179	0.197357	57260
0.169108	0.0144278	0.177405	0.0160179	0.197357	97753
0.171771	0.0144024	0.177087	0.0160179	0.197357	55361
0.174434	0.0143769	0.176768	0.0160179	0.197357	69176
0.177097	0.0143515	0.176449	0.0160179	0.197357	55056
0.17976	0.014326	0.176131	0.0160179	0.197357	110780
0.182423	0.0143006	0.175812	0.0160179	0.197357	61589
0.185087	0.0142751	0.175493	0.0160179	0.197357	60106
0.18775	0.0142496	0.175173	0.0160179	0.197357	92097
0.190413	0.0142241	0.174854	0.0160179	0.197357	53699
0.193076	0.0141986	0.174535	0.0160179	0.197357	50949
